KRITACOLORING_QUEST_NAME,Krita - Just My Color,,,,
KRITACOLORING_QUEST_SUBTITLE,What you'll do,,,,
KRITACOLORING_QUEST_DESCRIPTION,"Start with a simple picture, then change its color and add a background. Quick and easy!",,,,
KRITACOLORING_1,"Hi there, <b>{{user_name}}</b>! You've probably done lots of drawing and coloring on paper, but have you ever done it on a computer?",daemon2,,,
KRITACOLORING_2,Lots of professional artists use computers to make their best art. Today you'll learn some of their tricks!,daemon2,,,
KRITACOLORING_3,"Once, professionals had to pay for expensive software to make anything that looked good. Now we have free software like Krita, so everyone can make beautiful works of art!",daemon2,,,
KRITACOLORING_4,"I'll open Krita up for you - but you can find it on the desktop, in the future.",daemon2,,,
KRITACOLORING_5,"Once Krita's loaded, click <b>Open File</b> and navigate into your <b>Pictures</b> folder, then into <b>KritaSources</b>, where you should find a file called <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">calm-and-happy.png</span></tt>",daemon2,,,
KRITACOLORING_6,"Select that file and open it, and Krita should be showing you a picture of a person meditating.",daemon2,,,
KRITACOLORING_7,"This person looks so peaceful, so calm...but that red shirt is kind of intense. Can you think of a calmer color? Hmmm, maybe we can change that.",daemon2,,,
KRITACOLORING_8,"At the top right, you should see a colorful ring around a triangle. Try clicking around inside the ring.",daemon2,,,
KRITACOLORING_9,Did you see a big square appear next to the circle? Did the color change when you clicked? Now look at the triangle in the middle of the color ring.,daemon2,,,
KRITACOLORING_10,See that little circle inside the triangle? Try clicking around inside that triangle. The big square will show up and change color again.,daemon2,,,
KRITACOLORING_11,"The circle is where you pick a color, and the triangle lets you choose how light or dark it is. Try different colors and adjust the shade to make them light or dark. (Tip: Dark orange makes brown!)",daemon2,,,
KRITACOLORING_12,"Now select the color you want to make the shirt. Find the part of the color ring that's closest, then adjust the shade until that preview square looks just right.",daemon2,,,
KRITACOLORING_13,Now click on the shirt to make it change color!,daemon2,,,
KRITACOLORING_14,"Oops, looks like we just make a polka dot. Heh, sorry! I forgot we had the paintbrush tool selected.",daemon2,,,
KRITACOLORING_15,"There are LOTS of different tools in Krita. That paintbrush might come in handy for drawing later, but right now we need the Fill Tool. This won't put color in just one spot, it'll fill in a whole area!",daemon2,,,
KRITACOLORING_16,See if you can find it on the left. This one looks like a big can of paint just starting to spill.,daemon2,,,
