CHORE_QUESTION,"Oh, hello there! I'm still neck deep in this investigation. For now, I have some background work for you.",Saniel,,,quests/quest2-saniel-chore
CHORE_QUEST_ACCEPT,"Sure, I can do that. ",,,,quests/quest2-saniel-chore
CHORE_LAUNCH,"You'd think we would have gotten this file debacle sorted out by now! 

It's amazing how much time can pass when you're focused on a problem. 

Okay so now to the matter at hand. Let's go ahead and launch the System.",,,,quests/quest2-saniel-chore
CHORE_EXPLANATION,"We're going to need you to get familiar with how the Operating System works. 

Browse around in the System a bit to learn about the differen areas, and then give this quiz a try. t",,,,
CHORE_QUIZ1_QUESTION,1) Ada compares /dev/null to:,,,,
CHORE_QUIZ1_CHOICE1,A wastebasket,,,,
CHORE_QUIZ1_CHOICE2,A pie,,,,
CHORE_QUIZ1_CORRECT,Quite acceptable.,,,,
CHORE_QUIZ1_INCORRECT,Not quite. Try again.,,,,
CHORE_QUIZ2_QUESTION,2) The daemons often work:,,,,
CHORE_QUIZ2_CHOICE1,On horseback,,,,
CHORE_QUIZ2_CHOICE2,In the background,,,,
CHORE_QUIZ2_CORRECT,"Indeed, the background.",,,,
CHORE_QUIZ2_INCORRECT,Not really. One more try.,,,,
CHORE_QUIZ3_QUESTION,"3) The System App lets you change your cursor into a wedge of cheese, a unicorn, and poop.",,,,
CHORE_QUIZ3_CHOICE1,I sure hope that's True! ,,,,
CHORE_QUIZ3_CHOICE2,False.,,,,
CHORE_QUIZ3_CORRECT,I'm afraid you're right. ,,,,
CHORE_QUIZ3_INCORRECT,False? Really? Have you checked out the cursors? Try again. ,,,,
CHORE_WRAPUP,Nice work! That's it for now. Just a little glimpse of the wonders of the System! I must be going now. ,,,,
CHORE_KEY,"What was up with that quiz? Why is Saniel keeping us busy with quizzes when we should be investigating? 

Whoa, wait, whaaat? I just stepped on this thing. What is it?

Look, it’s the Level 2 key for The System. Looks like we may get to do some investigating after all ;) ",Riley,,,
CHORE_END,This will let us deeper into the new areas of the System. We def need to come back here later.,Riley,,,
CHORE_ABORT,No prob. Find me later! ,,,,
