T2FROGSQUASH_QUEST_NAME,Terminal 2 - FrogSquash,,,,
T2FROGSQUASH_FIRSTRUN1,"Good day. I’m Dr. Saniel Rowe, Academy Archivist, and you must be <b>{{user_name}}</b>, our new remote student.

It’s always a good day when I get to meet a new student - it means there's another person starting the journey to master their world.",saniel,,,
T2FROGSQUASH_FIRSTRUN2,"Speaking of mastery, I'd like your help to test some new security protocols.

We'll connect to a sub-network of The Academy's that's far outside my reach.",saniel,,,
T2FROGSQUASH_FIRSTRUN3,Go enjoy yourself - and return to the Clubhouse if you'd like to do something else.,saniel,,,
T2FROGSQUASH_GREET1,"This game is part of a network of activities outside the main Academy, and you can run all of them from your Desktop, if you like.",saniel,,,
T2FROGSQUASH_GREET2,"Frog Squash - Isn't the goal to <b>avoid</b> being squashed? You'll find out, I suppose.",saniel,,,
T2FROGSQUASH_BYE,Excellent. You're on your way!,saniel,hurray,,
T2FROGSQUASH_NOTINSTALLED,"Uh-oh! Looks like <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">Frog Squash</span></tt> isn't installed! We need it installed before you can play the quest.

Would you like me to install it for you?",daemon,,,
T2FROGSQUASH_QUEST_SUBTITLE,What you'll do,,,,
T2FROGSQUASH_QUEST_DESCRIPTION,"Program your frog to avoid danger and grab coins, or just play it yourself!",,,,
